Workload,Replication,AllowReneging,LambdaInput,SimDuration,Warmup,E_r_sim,E_r_ci95,lambda_effective,E_N_sim,P_reject_N_max,total_in,total_out,total_rejected,total_reneged
WL-BASE-REP01,1,0,0.16666666666666666,600.0,51,19.876306935678137,3.1955601587582034,0.18004318965803828,3.5785936993216807,0.0,113,113,0,0
WL-BASE-REP02,2,0,0.16666666666666666,600.0,51,17.666149928558426,3.388259797047839,0.13285077039250826,2.3469616278785415,0.0,83,83,0,0
WL-BASE-REP03,3,0,0.16666666666666666,600.0,51,17.701376164467877,3.3396438390879633,0.14392273449622459,2.5476304619365084,0.0,89,89,0,0
WL-BASE-REP04,4,0,0.16666666666666666,600.0,51,17.579024328362944,3.262609691117845,0.15513632751724668,2.727145275638561,0.0,95,95,0,0
WL-BASE-REP05,5,0,0.16666666666666666,600.0,51,21.247840642543803,3.438138006934242,0.183460422222597,3.898137815599543,0.0,112,112,0,0
WL-BASE-REP06,6,0,0.16666666666666666,600.0,51,22.397856565925846,3.7029827754291116,0.15246162304836489,3.414813564845531,0.0,92,92,0,0
WL-BASE-REP07,7,0,0.16666666666666666,600.0,51,20.53205660526157,4.346301051104333,0.15782922311237452,3.2405585429077313,0.0,98,98,0,0
WL-BASE-REP08,8,0,0.16666666666666666,600.0,51,18.18569829466893,2.9701559532973207,0.17656410612404375,3.2109415636397665,0.0,111,111,0,0
WL-BASE-REP09,9,0,0.16666666666666666,600.0,51,17.352561792345053,3.2070109793259913,0.1739976782899989,3.019305464251781,0.0,109,109,0,0
WL-BASE-REP10,10,0,0.16666666666666666,600.0,51,19.123396344284306,3.4370484540134743,0.1605922895294448,3.071070002507631,0.0,106,106,0,0
WL-BASE-REP11,11,0,0.16666666666666666,600.0,51,18.309902697364514,2.588573042598227,0.18005565477920701,3.2968015191175364,0.0,111,111,0,0
WL-BASE-REP12,12,0,0.16666666666666666,600.0,51,21.83461382751841,3.64487972302033,0.14015215958080254,3.060168281539558,0.0,87,87,0,0
WL-BASE-REP13,13,0,0.16666666666666666,600.0,51,22.286335936216503,4.989565223093568,0.1556778328830197,3.469488481453149,0.0,96,96,0,0
WL-BASE-REP14,14,0,0.16666666666666666,600.0,51,21.57197915495011,3.638346476632981,0.1668372506621962,3.599009693554083,0.0,108,108,0,0
WL-BASE-REP15,15,0,0.16666666666666666,600.0,51,16.962712644103657,3.116617286674441,0.16770587087564143,2.8447464963926583,0.0,102,102,0,0
WL-BASE-REP16,16,0,0.16666666666666666,600.0,51,21.269185901353406,4.634814377273771,0.148356850661981,3.1554294364689994,0.0,93,93,0,0
WL-BASE-REP17,17,0,0.16666666666666666,600.0,51,17.35327628910457,3.3912258421080743,0.14643012076082276,2.541042342609505,0.0,97,97,0,0
WL-BASE-REP18,18,0,0.16666666666666666,600.0,51,16.288423349148566,3.515196412531026,0.14674935941658612,2.3903156923937163,0.0,99,99,0,0
WL-BASE-REP19,19,0,0.16666666666666666,600.0,51,21.406398207378185,3.906138912631099,0.14116458466070497,3.021825312026201,0.0,85,85,0,0
WL-BASE-REP20,20,0,0.16666666666666666,600.0,51,19.997250672834504,3.9351769380389903,0.16778237563270962,3.355186224010974,0.0,105,105,0,0
WL-BASE-REP21,21,0,0.16666666666666666,600.0,51,20.533593520376133,3.6194971627878196,0.15877159452729336,3.2601513846054178,0.0,97,97,0,0
WL-BASE-REP22,22,0,0.16666666666666666,600.0,51,21.48181535343291,3.685112466215855,0.16469532680683294,3.5379546000376747,0.0,101,101,0,0
WL-BASE-REP23,23,0,0.16666666666666666,600.0,51,17.202782727838688,3.2642912078195234,0.16946712938852973,2.9153062063814033,0.0,106,106,0,0
WL-BASE-REP24,24,0,0.16666666666666666,600.0,51,19.36939333719268,3.8241066435749573,0.14745283572422452,2.8560719738269613,0.0,90,90,0,0
WL-BASE-REP25,25,0,0.16666666666666666,600.0,51,22.499950725767643,3.9261587039835875,0.16500568651243488,3.7126198160012476,0.0,105,105,0,0
